index,elapse_time,susp_fl,susp_fr,susp_rl,susp_rr,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z
0,0,0.0126929024549256,0.0137549801396658,-0.0129669330525407,0.0449616041654109,0.1044606704887154,-0.3743085752884941,9.262301268906146,-0.0686844472641696,0.044657035026348,-0.1009144349119047
1,10,-0.032372973341798,0.0137663907525977,-0.0100721994047247,0.0272306316774023,0.3716250227900551,-0.1341110629545758,9.453365266427376,-0.0519422582586103,0.0494862341879128,-0.1149828981398046
2,20,0.0044487505305043,0.0211487628170629,-0.0092496878171149,0.0248395960381264,0.2978739597375556,-0.3257069817518986,9.392282611467406,-0.0780426950697766,0.0517242886200854,-0.0651395682636027
3,30,-0.0092889005255823,0.0416974135214031,0.0024788874633326,0.0250096111545055,0.3489050592602607,-0.2861626855320289,9.118318122831065,-0.1062744188906807,0.0468982476315139,-0.0798757537446048
4,40,-0.0125055780735061,0.0552184307302057,0.0054784647784896,0.027904915234296,0.3710992011563019,-0.3290095831229616,9.101295381415095,-0.0764147813502748,0.051475225230135,-0.0498751830811797
5,50,-0.0330230978063857,0.0349962134464462,0.0020150276107341,0.0024753855494425,0.2489127980281285,-0.2779820384488626,9.366653167106117,-0.0870644232788351,0.0646999844622199,-0.0801854865117314
6,60,-0.0599297297613256,-0.0034736139986857,-0.0190701439438827,0.0274959272500412,0.1823790652910875,-0.4518224126363969,9.275285577784022,-0.1112550054960854,0.05536954517127,-0.1223819007214699
7,70,-0.0282842075034975,0.0259105617190437,-0.013587033113994,0.0185633754502216,0.4292829766774937,-0.35805863535042,9.105833514263358,-0.071001719670775,0.0590014042923313,-0.0645887027286287
8,80,-0.0321111928969436,-0.0014906617404538,-0.0148745598604612,0.0127649455455048,0.2765285730975156,-0.2235103644274294,9.443759709077868,-0.0908155908910167,0.0636213887394804,-0.1338321251214854
9,90,-0.033892974718682,0.0133622106894905,-0.0100788561053573,0.0164064982402344,0.2890951089633532,-0.4841731049248349,9.091345710292709,-0.0766904747876745,0.0467456343507248,-0.0794848948581516
10,100,-0.0239698878337087,0.024268174362543,-0.0249583051137225,0.0050329378435317,0.1705482976198593,-0.36712544444004,9.280259713403934,-0.0898353551932657,0.0561592948981587,-0.0490416011123954
11,110,-0.0102179644960847,0.0220291812098231,-0.0183386958509263,0.0265079259484871,0.4574249248207502,-0.2587966077858173,9.077932205828846,-0.1452279667066539,0.0615896147124076,-0.1462920084363345
12,120,-0.0197874189439708,0.0119658197845953,-0.0350210841050747,-0.0103389018708451,0.2952071119886426,-0.306090799803744,9.419878126244054,-0.0875073198531644,0.0350591691319837,-0.0718286500644746
13,130,-0.019510877709517,0.0213064338585318,-0.0172613870447564,0.0052239470252155,0.3739798255795623,-0.4255905315073888,9.308427958546991,-0.0828331994492963,0.0535222381699808,-0.0716652690127016
14,140,-0.0185312198316013,0.0118247158696865,-0.0238038921022977,0.0153186967889399,0.371117697016583,-0.1770106111050498,9.203717074582926,-0.1194855930328459,0.0433715117872195,-0.1286605607090831
15,150,-0.0258065661587919,0.0174210563019882,-0.0102440803050173,-0.0045660512744147,0.1262775697149085,-0.3619747364916635,9.26125689523214,-0.1153883463277562,0.0380176801798074,-0.1072463407106331
16,160,-0.0055207785811399,0.009483010026552,-0.0307327008794325,0.0303727944140095,0.1366555644256348,-0.3026201936872167,9.150120109868777,-0.1214355958466543,0.0336166419946343,-0.1292136491904483
17,170,-0.0312693670869151,-0.004425160324501,-0.0166015781180029,0.0037063578787209,0.1827905944463789,-0.3969398164005482,8.845230602091672,-0.0699216106188068,0.0442278792110242,-0.1035296804849159
18,180,-0.0266453029419063,0.0115696633999741,-0.0178203923106204,0.01192886890315,0.4192216430812934,-0.3052238150568526,9.254766186116662,-0.1157874206308862,0.016151590918946,-0.1249968982037383
19,190,-0.0274645696166033,0.0051116306829111,-0.0172164913575761,0.0148717697072812,0.3109497648685456,-0.3389298446585514,9.308872634707935,-0.1078583736161317,0.0557000345441373,-0.0529491779054004
20,200,-0.0095925665121636,0.0369317900810133,-0.0090721800507724,0.0150264082020092,0.2873425340607687,-0.3247840366017588,9.08716013088326,-0.1485106530786404,0.0241426383971117,-0.0693945130019562
21,210,-0.0372714506461257,0.0153117431330958,-0.004013048253499,0.0221655239710416,0.3267995194525225,-0.1117079501551005,9.17114574848932,-0.1024127305620136,0.0271026558310964,-0.086173718036746
22,220,-0.0106815168730217,0.0214702193895882,0.0002789687441206,0.0256775085874899,0.4074939252863806,-0.3743130760808589,8.660407388887837,-0.1291127214960197,0.0570334857351962,-0.0910320356035418
23,230,0.0041850840343463,0.03154726452673,0.0006150168952662,0.0346058393581771,0.0675017918201431,-0.3360930219564279,9.021067009048972,-0.0794581080930592,0.0447961141436338,-0.0148020757378496
24,240,-0.0365895712724851,0.0138708324062264,-0.0234474064558708,-0.0019500168894306,0.1680927504859615,-0.1907043608079023,9.349414580439994,-0.1044465143367642,0.0440830441011101,-0.1108868688654644
25,250,-0.0180751899478223,0.0150396686244033,-0.0238621526215401,0.0112423462390862,0.33362854598162,-0.412605961354213,9.16461267824766,-0.0612561773425281,0.0382875945186385,-0.0855049063761044
26,260,-0.01940424747771,0.013911412575326,-0.0197008158023046,0.0238587530232028,0.2197370052118027,-0.3286086849178198,9.568007247842296,-0.1012671187198561,0.0497499169292875,-0.0808869332496555
27,270,-0.0004485211526093,0.0276821417576197,-0.0051395308098526,0.022846955439023,0.1949262081840588,-0.21574655080852,8.959577809247595,-0.0778444759930838,0.0518897156924999,-0.1044305244392422
28,280,-0.0080814728415642,0.0341558791530633,-0.0149837397709349,0.036397068606546,0.2283417603148083,-0.2419370071797921,8.854363483885589,-0.0972657367843516,0.0386233898328282,-0.0407920729529731
29,290,-0.0106847962575577,0.0207495736368306,-0.0179530165359415,0.0230520644740832,0.2754190393022313,-0.4358386792612078,9.64734671539904,-0.1212330655379872,0.0204363174850686,-0.0842180929603072
30,300,0.0065410032453496,0.0437865143547054,0.0098515301797032,0.0217164910655662,0.1860940060242554,-0.193368596632814,8.87184215733222,-0.0514639540281251,0.0248944976253911,-0.0671161074504423
